name,id,ranking,ranking_points,born_year,versus,hand,height,victory_percentage,clay_victory_percentage,carpet_victory_percentage,grass_victory_percentage,hard_victory_percentage,ace_percentage,doublefault_percentage,first_serve_success_percentage,winning_on_1st_serve_percentage,winning_on_2nd_serve_percentage,overall_win_on_serve_percentage,breakpoint_faced_percentage,breakpoint_saved_percentage
Alberto Lim,202165,1386,3,1999,"{127143: ['D'], 105812: ['D'], 200045: ['V'], 106397: ['D']}",R,0,25.0,0,0,0.0,0.0,3.582089552238806,4.477611940298507,65.67164179104478,40.298507462686565,17.611940298507463,57.91044776119403,67.3076923076923,34.61538461538461
Simen Sunde Bratholm,202382,1485,2,1999,"{200416: ['D'], 144854: ['V']}",R,0,50.0,0,0,0.0,0.0,3.3816425120772946,4.3478260869565215,67.14975845410628,44.927536231884055,19.32367149758454,64.2512077294686,56.666666666666664,40.0
Pancho Segura,100002,0,0,1921,"{100100: ['D'], 100038: ['V'], 110374: ['V'], 100074: ['D'], 100011: ['D'], 100172: ['D'], 110190: ['V'], 107217: ['V'], 109881: ['V'], 100060: ['D'], 100029: ['D'], 100030: ['D'], 110181: ['D']}",R,0,38.46153846153847,50.0,0.0,50.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Sedgman,100003,0,0,1927,"{100162: ['D'], 108350: ['V'], 109764: ['V'], 100075: ['V'], 100120: ['V'], 100376: ['D'], 100100: ['D', 'V'], 100186: ['D'], 100079: ['D'], 100058: ['V'], 100129: ['D'], 100219: ['D'], 100125: ['D'], 100134: ['V'], 100070: ['V'], 100199: ['D'], 109800: ['V'], 100139: ['D'], 100206: ['D'], 107311: ['V'], 100016: ['D', 'D'], 100081: ['D'], 108326: ['V'], 100084: ['D'], 100030: ['D'], 100025: ['D', 'D'], 100859: ['V'], 100220: ['D'], 100286: ['D']}",R,0,37.5,37.5,0.0,41.17647058823529,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giuseppe Merlo,100004,0,0,1927,"{100160: ['D'], 109825: ['D'], 110276: ['V'], 108360: ['D'], 100139: ['D', 'V'], 108012: ['D'], 100173: ['D'], 100045: ['V'], 100113: ['D'], 110327: ['V'], 100057: ['D'], 100032: ['D'], 100126: ['D']}",R,0,28.57142857142857,30.76923076923077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Pancho Gonzales,100005,0,0,1928,"{100097: ['D'], 100098: ['V', 'V'], 100099: ['V', 'D'], 100100: ['V', 'D', 'D'], 100102: ['V'], 100103: ['V'], 100104: ['V'], 110349: ['V'], 100111: ['V'], 100114: ['V'], 100120: ['V'], 100121: ['D'], 100126: ['V'], 100128: ['V', 'V'], 100016: ['D', 'V', 'D'], 100132: ['V'], 100135: ['V', 'D'], 100141: ['V', 'V'], 100087: ['D', 'D'], 109883: ['V'], 100159: ['V'], 100160: ['V', 'V'], 110048: ['V'], 100162: ['V'], 100321: ['D'], 100169: ['V', 'V'], 100428: ['D'], 100173: ['D'], 100174: ['D', 'V'], 100178: ['V'], 100179: ['V'], 100182: ['D', 'V'], 100186: ['V'], 100196: ['D', 'D'], 100199: ['D'], 100205: ['V'], 109935: ['V'], 109937: ['V'], 106867: ['V'], 100214: ['V'], 199999: ['D'], 100226: ['V'], 100417: ['V'], 100235: ['V'], 100255: ['V', 'V', 'D'], 100009: ['V'], 100011: ['V', 'V'], 100272: ['V'], 100017: ['V'], 109746: ['V', 'V'], 100022: ['V'], 100023: ['V'], 109752: ['V'], 100219: ['V'], 100284: ['V', 'D', 'D'], 100029: ['D'], 100034: ['V'], 100035: ['V'], 100037: ['D'], 109768: ['V'], 100343: ['V'], 100045: ['D'], 100047: ['V', 'D'], 100048: ['V'], 100050: ['D'], 100053: ['V'], 100057: ['V', 'D'], 100058: ['V', 'D'], 100060: ['D', 'D', 'D'], 100061: ['V', 'V'], 100064: ['V'], 100304: ['V'], 100067: ['V'], 100073: ['D'], 100074: ['D'], 100076: ['V'], 100078: ['D'], 100079: ['D'], 100081: ['V'], 100084: ['D', 'D'], 109814: ['V'], 109815: ['V'], 100090: ['V'], 100091: ['D'], 100092: ['D'], 100094: ['V', 'V'], 109823: ['V']}",R,188.0,65.51724137931035,63.1578947368421,40.0,63.41463414634146,72.22222222222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abe Segal,100007,0,0,1930,"{100016: ['D'], 100075: ['D'], 100100: ['D'], 106968: ['V'], 106971: ['D'], 100141: ['D'], 107342: ['V'], 107309: ['D']}",L,0,25.0,25.0,0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Istvan Gulyas,100009,0,0,1931,"{100033: ['V', 'V', 'D'], 100232: ['D'], 108012: ['V'], 100106: ['V'], 106867: ['V'], 100109: ['V'], 107309: ['D'], 100086: ['V'], 109763: ['V'], 100231: ['D'], 100133: ['D'], 100119: ['D', 'D', 'D', 'D'], 100120: ['D'], 100249: ['D', 'D'], 109850: ['V'], 100127: ['V', 'V'], 100128: ['D', 'V'], 100129: ['V'], 100130: ['D'], 117283: ['V'], 100005: ['D'], 100017: ['V'], 100011: ['V'], 100012: ['D'], 100141: ['D', 'D'], 100142: ['D'], 100016: ['D'], 109745: ['V'], 109746: ['V'], 100019: ['V', 'D', 'V'], 100062: ['D', 'D'], 100022: ['D'], 100152: ['D'], 100025: ['V'], 100026: ['D'], 100158: ['V', 'V'], 199999: ['V'], 110273: ['V'], 100034: ['D'], 100035: ['D'], 100037: ['D'], 109766: ['V'], 100039: ['V'], 100040: ['V'], 108342: ['V'], 100170: ['D'], 112972: ['D'], 100220: ['D', 'D'], 100050: ['D', 'V'], 110292: ['V'], 110293: ['V'], 100056: ['V', 'D', 'D'], 100239: ['V'], 100161: ['V', 'D'], 100144: ['V'], 100064: ['V'], 100193: ['V'], 125691: ['V'], 100069: ['D'], 100071: ['V'], 109800: ['V'], 100073: ['V'], 100074: ['D'], 100075: ['D'], 100076: ['V'], 100077: ['D'], 100079: ['D', 'V'], 100080: ['D'], 100121: ['D'], 100083: ['V'], 100085: ['V'], 100214: ['V', 'V', 'V'], 100087: ['D'], 100090: ['D', 'V'], 100159: ['V'], 100092: ['D']}",R,0,52.04081632653062,55.4054054054054,0,0.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Ayala,100010,0,0,1932,"{109856: ['D'], 100100: ['D'], 100038: ['V'], 100105: ['V'], 100055: ['D'], 100045: ['V'], 100048: ['D'], 108052: ['V'], 100182: ['V'], 109783: ['V'], 100057: ['D'], 100125: ['D'], 100126: ['D'], 100128: ['D'], 100068: ['V'], 100073: ['D'], 100076: ['D'], 100078: ['D'], 109853: ['V'], 100144: ['V'], 109749: ['V'], 100233: ['D'], 100026: ['D'], 100094: ['D']}",R,0,41.66666666666667,46.666666666666664,0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Torben Ulrich,100011,0,0,1932,"{110337: ['V'], 100075: ['D'], 100309: ['D'], 100118: ['V'], 100303: ['D'], 100231: ['D', 'D', 'V'], 100106: ['V', 'V', 'D'], 100039: ['V'], 100112: ['V'], 100163: ['V'], 100244: ['D'], 100304: ['V'], 100119: ['D', 'D', 'D', 'D'], 100120: ['D'], 100033: ['D'], 100058: ['D', 'D', 'V'], 100127: ['D', 'D'], 111136: ['V'], 100130: ['D'], 100132: ['V'], 100005: ['D', 'D'], 100091: ['D'], 100009: ['D'], 109867: ['V'], 108377: ['D'], 100957: ['D'], 100016: ['D'], 100273: ['V'], 100147: ['V'], 100148: ['D', 'D'], 100022: ['D', 'D', 'D'], 100002: ['V'], 109752: ['V'], 100025: ['D'], 100026: ['D', 'D', 'D'], 100255: ['D', 'D'], 100028: ['D'], 100029: ['D', 'V', 'D'], 100286: ['D'], 100031: ['V'], 100160: ['V'], 107969: ['D'], 100162: ['D', 'D', 'D', 'D', 'D', 'D', 'D'], 100035: ['D'], 109765: ['V'], 100065: ['D'], 100139: ['D'], 100599: ['D'], 109900: ['V'], 100045: ['D'], 100174: ['D', 'D'], 100047: ['D', 'D'], 100048: ['D'], 100049: ['D'], 100037: ['D', 'D'], 109781: ['V'], 100056: ['D'], 100057: ['V'], 100186: ['V', 'V', 'D'], 109903: ['D'], 100060: ['V', 'D', 'D', 'D'], 100282: ['D'], 110175: ['D'], 100064: ['V'], 100176: ['V'], 100027: ['V'], 100196: ['V'], 100069: ['D'], 100073: ['D', 'D', 'D'], 100074: ['D', 'D', 'D'], 100203: ['D'], 100205: ['D'], 100078: ['D'], 100081: ['D', 'D'], 110067: ['V'], 100084: ['D', 'D', 'D', 'D', 'D', 'D'], 100094: ['V', 'D'], 100087: ['D', 'D', 'D'], 100115: ['D', 'D'], 100217: ['V'], 100090: ['D'], 199999: ['V'], 100220: ['D', 'D'], 109822: ['V'], 100128: ['D']}",L,0,27.06766917293233,13.157894736842104,33.33333333333333,46.15384615384615,22.58064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
